text,label
Create a portfolio for 50000,PORTFOLIO
What could go wrong with AMD?,ANALYSIS
Allocate 8000 into cloud computing stocks for a risky investor,PORTFOLIO
Tell me the top 20 stocks that are available from the same sector as Palantir,RECOMMENDATION
I want exposure to defense with 10000000.,PORTFOLIO
What percentage of 2000 would go into each stock?,PORTFOLIO
I want a diversified portfolio using 25000.,PORTFOLIO
I received 90000. How should I invest it?,PORTFOLIO
What are the best stocks from energy medium term?,RECOMMENDATION
What are some promising investments?,RECOMMENDATION
Is BEL a good short-term investment?,ANALYSIS
How does AMD compare against its competitors?,ANALYSIS
Got a bonus of 1000000. How should I invest it?,PORTFOLIO
Best stocks for the next 20 years,RECOMMENDATION
Suggest high growth stocks from the AI sector for a aggressive growth investor,RECOMMENDATION
Construct a portfolio with 10000,PORTFOLIO
I have 200000 sitting in cash.,PORTFOLIO
Would you choose TSMC over BHEL today?,ANALYSIS
I want a diversified portfolio using 10000.,PORTFOLIO
What moderate risk stocks would you buy today in the semiconductors sector?,RECOMMENDATION
Recommend stocks with strong fundamentals for a high risk investor for the long term,RECOMMENDATION
Recommend stocks with strong fundamentals for a low risk investor for the long term,RECOMMENDATION
How strong are the fundamentals of IBM?,ANALYSIS
I have 25000 sitting in cash.,PORTFOLIO
How would you invest 2000000 over 1 years?,PORTFOLIO
Construct a portfolio with 9000,PORTFOLIO
What are your top stock picks in semiconductors for the next 15 years?,RECOMMENDATION
Is now a good entry point for L&T?,ANALYSIS
I am a pretty high risk investor. What are the best growth stocks?,RECOMMENDATION
Would you invest in IBM today?,ANALYSIS
I want exposure to healthcare with 90000.,PORTFOLIO
Recommend stocks with strong fundamentals for a aggressive growth investor for the long term,RECOMMENDATION
Help me deploy 10000 into the market,PORTFOLIO
Could u suggest some stocks similar to Nvidia for a safe investor investing for the next 15 years?,RECOMMENDATION
How should I split 50000 between growth and safety?,PORTFOLIO
What are your top stock picks for the next 9 years for a aggressive growth investor?,RECOMMENDATION
What are your top stock picks in fintech for the next 5 years?,RECOMMENDATION
Allocate 25000 into renewable energy stocks.,PORTFOLIO
Which companies are leading in energy?,RECOMMENDATION
Recommend some quality businesses in the renewable energy sector for a aggressive growth investor.,RECOMMENDATION
What is your bear case for L&T?,ANALYSIS
I have 75000 and want exposure to cybersecurity,PORTFOLIO
What is your bear case for TCS?,ANALYSIS
Looking for opportunities in semiconductors,RECOMMENDATION
Should I buy Mahindra and Mahindra?,ANALYSIS
I can invest 25000 and want exposure to healthcare.,PORTFOLIO
Recommend companies with strong earnings growth,RECOMMENDATION
Would you choose Mahindra and Mahindra over Google today?,ANALYSIS
Is now a good entry point for Microsoft?,ANALYSIS
Good stocks for a risky investor,RECOMMENDATION
Can Meta generate market-beating returns?,ANALYSIS
Give me a few stocks from the AI sector worth investing in,RECOMMENDATION
Analyze Tesla,ANALYSIS
What could go wrong with Mahindra and Mahindra?,ANALYSIS
I am a pretty low risk investor. What are the best growth stocks?,RECOMMENDATION
Suggest me a few stocks to invest in the next 14 years,RECOMMENDATION
Which stocks have the highest upside potential?,RECOMMENDATION
Would you choose IBM over ICICI Bank today?,ANALYSIS
Construct a portfolio with 2000,PORTFOLIO
Give me a few stocks worth researching for a risky investor,RECOMMENDATION
Analyze AMD,ANALYSIS
Can you evaluate Microsoft for a conservative investor?,ANALYSIS
Looking for strong long term investments similar to AMD,RECOMMENDATION
Recommend some quality businesses in the AI sector for a safe investor.,RECOMMENDATION
What are the risks of investing in Palantir?,ANALYSIS
Help me build wealth using 25000.,PORTFOLIO
Should I hold or sell ICICI Bank?,ANALYSIS
How should I distribute 1000000 into real estate stocks?,PORTFOLIO
I'm thinking of buying Tesla. Any concerns?,ANALYSIS
Allocate 9000 among the best stocks,PORTFOLIO
What fintech stocks would you buy today for the next 6 years?,RECOMMENDATION
Evaluate HDFC Bank for the next 3 years,ANALYSIS
I am a pretty safe investor. What are the best growth stocks?,RECOMMENDATION
What electric vehicles stocks would you buy today for the next 9 years?,RECOMMENDATION
Could u suggest some stocks similar to ICICI Bank for a low risk investor investing for the next 15 years?,RECOMMENDATION
What is the fair value of Reliance?,ANALYSIS
Analyze AMD from a value investing perspective,ANALYSIS
What are your top stock picks for the next 1 years for a low risk investor?,RECOMMENDATION
Give me a few stocks worth researching for a high risk investor,RECOMMENDATION
Do you think ICICI Bank can maintain its growth?,ANALYSIS
What are the risks of investing in Google?,ANALYSIS
How should a safe investor allocate 150000?,PORTFOLIO
Nvidia has doubled recently. Is it still worth buying?,ANALYSIS
What AI stocks would you buy today for the next 20 years?,RECOMMENDATION
Which companies benefit from AI for short term?,RECOMMENDATION
What is your bull case for ICICI Bank?,ANALYSIS
Build a long term portfolio using 150000,PORTFOLIO
"Worried about performance of Amazon, should i sell in the next year?",ANALYSIS
What risky stocks would you buy today in the renewable energy sector?,RECOMMENDATION
Is IBM a good short-term investment?,ANALYSIS
I can invest 2000000 right now,PORTFOLIO
I have 150000 available for investing over 8 years.,PORTFOLIO
Recommend some defense stocks,RECOMMENDATION
I have 90000 and want exposure to electric vehicles,PORTFOLIO
What would a balanced portfolio look like with 8000?,PORTFOLIO
Can you allocate 150000 across multiple sectors?,PORTFOLIO
Best stocks for the next 2 years,RECOMMENDATION
Analyze Meta,ANALYSIS
