text,sector
Build a stock portfolio using 75000 in the food sector.,Consumer Defensive
Top social media companies for growth,Communication Services
Identify market leaders in hospitals for 10 years.,Healthcare
Recommend medium risk building materials stocks,Basic Materials
What are the best 5 years stocks?,Unspecified
Allocate 25000 into aggressive 5 years stocks for retirement,Unspecified
Recommend stocks for long term growth,Unspecified
Recommend long term electric utility investments for a experienced investor.,Utilities
Analyze the top nbfc companies for a conservative investor.,Financial Services
Recommend conservative 6 months hospital stocks,Healthcare
Create a portfolio with 25000 in 6 months stocks,Unspecified
High growth health companies,Healthcare
Strong social media stocks,Communication Services
Recommend safe hospitality stocks,Consumer Cyclical
Find attractive hydroelectric opportunities for 3 years.,Utilities
Compare leading consumer defensive businesses for growth.,Consumer Defensive
Find the best medium risk renewable energy stocks,Utilities
Create a portfolio using beverages stocks,Consumer Defensive
Recommend top lng companies,Energy
What are the best 1 year stocks?,Unspecified
Find the best aggressive 3 years wind energy stocks,Utilities
Build a diversified auto portfolio with 250000.,Consumer Cyclical
Recommend the strongest grocery companies,Consumer Defensive
Create a portfolio with 1000000 in safe 3 years stocks,Unspecified
Build a portfolio of chip companies,Technology
Suggest stocks for wealth creation,Unspecified
Suggest safe investments from the fintech sector.,Financial Services
Undervalued financial stocks,Financial Services
Compare leading power utility businesses for growth.,Utilities
Suggest medium risk investments from the beverages sector.,Consumer Defensive
Identify market leaders in wealth management for 5 years.,Financial Services
Suggest aggressive 3 years stocks,Unspecified
Recommend stable cars companies for a aggressive investor.,Consumer Cyclical
Allocate 500000 into petroleum stocks for a conservative 10 years investment.,Energy
Show me risky stocks,Unspecified
Recommend aggressive 3 years biotechnology stocks,Healthcare
Build a portfolio of mid cap logistics stocks using 75000.,Industrials
Allocate 1000000 into the top beverages companies for 5 years.,Consumer Defensive
Top real estate stocks for growth,Real Estate
Allocate 1000000 into aggressive 6 months consumer goods stocks,Consumer Defensive
Recommend small cap e-commerce companies for 10 years growth.,Consumer Cyclical
Which stocks should I buy for retirement?,Unspecified
Suggest 6 months aerospace investments,Industrials
Find the best transportation stocks,Industrials
Good biotechnology investments,Healthcare
Recommend the strongest small cap companies in semiconductor.,Technology
Recommend 1 year defense stocks,Industrials
Suggest the best retail investments using 100000.,Consumer Cyclical
Find the best 1 year housing stocks,Real Estate
Best pharmaceuticals opportunities,Healthcare
Allocate 500000 into the top electric utility companies for 10 years.,Utilities
Allocate 100000 into aggressive 3 years stocks,Unspecified
Recommend market leaders in construction,Industrials
Allocate 25000 into real estate services stocks,Real Estate
Recommend market leaders in personal care,Consumer Defensive
Which risky 10 years stocks should I buy?,Unspecified
Build a portfolio focused on property development and growth.,Real Estate
Which 1 year stocks should I buy?,Unspecified
Top automobile companies for growth,Consumer Cyclical
Find growth opportunities in the retail sector.,Consumer Cyclical
Suggest 1 year ecommerce investments,Consumer Cyclical
Create a wealth creation plan using solar stocks.,Utilities
Recommend 3 years nbfc stocks,Financial Services
Build a aggressive investment strategy focused on entertainment.,Communication Services
Best medical opportunities,Healthcare
Allocate 75000 into top performing 6 months stocks,Unspecified
Build a portfolio of mid cap finance stocks using 50000.,Financial Services
Recommend the best mid cap companies in the gas utility sector.,Utilities
Recommend medium risk health companies for growth.,Healthcare
Find companies in software suitable for long term growth.,Technology
Find the best 3 years drug stocks,Healthcare
Recommend market leaders in housing,Real Estate
Allocate 250000 across large cap wind energy companies.,Utilities
Create a wealth creation plan using metals stocks.,Basic Materials
Recommend conservative 6 months stocks for growth,Unspecified
Recommend long term oil and gas investments for a working professional.,Energy
Top wealth management stocks for growth,Financial Services
Recommend safe internet technology stocks,Technology
Recommend risky 3 years transportation stocks,Industrials
Allocate 10000 into solar stocks for a safe 6 months investment.,Utilities
Allocate 25000 into cement stocks for a risky 1 year investment.,Basic Materials
High growth hospitals companies,Healthcare
Find refining opportunities for a experienced investor.,Energy
Find attractive hospital opportunities for 6 months.,Healthcare
Recommend stocks for retirement,Unspecified
Allocate 100000 into 5 years daily essentials stocks,Consumer Defensive
Find the best auto stocks,Consumer Cyclical
Suggest 6 months telecommunications investments,Communication Services
Find high quality retail businesses for 5 years.,Consumer Cyclical
Recommend 10 years stocks for passive income,Unspecified
Build a portfolio of large cap coal stocks using 25000.,Energy
Best hospitality stocks right now,Consumer Cyclical
Build a portfolio of health companies,Healthcare
Recommend mid cap military companies for 5 years growth.,Industrials
Allocate 10000 into 1 year stocks for retirement,Unspecified
Which medium risk 3 years stocks should I buy?,Unspecified
Top engineering stocks for growth,Industrials
Allocate 25000 into the top e&p companies for 10 years.,Energy
Create a diversified investment plan using e-commerce stocks.,Consumer Cyclical
Recommend aggressive 3 years petroleum stocks,Energy
Find companies in oil suitable for retirement.,Energy
Recommend safe financial services companies,Financial Services
Allocate 25000 into the top aluminium companies for 5 years.,Basic Materials
Suggest medium risk media investments,Communication Services
Recommend the strongest mid cap companies in diagnostics.,Healthcare
Recommend safe stocks for long term growth,Unspecified
Find the best safe investment banking stocks,Financial Services
Find companies in utilities suitable for passive income.,Utilities
Allocate 100000 into metals stocks for a safe 5 years investment.,Basic Materials
Recommend long term chemicals investments for a young investor.,Basic Materials
Show me risky 5 years stocks,Unspecified
Recommend the best small cap companies in the entertainment sector.,Communication Services
Find attractive broadcasting opportunities for 10 years.,Communication Services
Analyze the top lng companies for a risky investor.,Energy
High growth machine learning companies,Technology
Allocate 25000 into aggressive stocks for passive income,Unspecified
Suggest conservative stocks,Unspecified
Allocate 25000 into the best conservative 3 years stocks,Unspecified
Recommend 1 year hydroelectric stocks,Utilities
Suggest conservative industrial equipment investments,Industrials
Best investment banking opportunities,Financial Services
Recommend 3 years stocks,Unspecified
Find biotechnology stocks with strong earnings growth.,Healthcare
Suggest 10 years telecom investments,Communication Services
Recommend the strongest small cap companies in property.,Real Estate
Suggest the best telecommunications investments using 250000.,Communication Services
Find iron opportunities for a college student.,Basic Materials
Create a wealth creation plan using banks stocks.,Financial Services
Create a portfolio using chemicals stocks,Basic Materials
What are the best medium risk stocks?,Unspecified
Find the best conservative stocks,Unspecified
Find property stocks with strong earnings growth.,Real Estate
Find cars stocks with strong earnings growth.,Consumer Cyclical
Allocate 500000 into 6 months crude oil stocks,Energy
Strong mining stocks,Basic Materials
What are the best 10 years stocks?,Unspecified
Find the best 6 months biotech stocks,Healthcare
Recommend long term utility investments for a working professional.,Utilities
Recommend 6 months streaming stocks,Communication Services
Recommend mid cap media companies for 5 years growth.,Communication Services
Which aggressive 6 months stocks should I buy?,Unspecified
Recommend stable bank companies for a risky investor.,Financial Services
Long term real estate opportunities,Real Estate
Recommend the strongest machine learning companies,Technology
Recommend growth-oriented e&p stocks.,Energy
Allocate 75000 into 3 years stocks for long term growth,Unspecified
Find the best communication stocks,Communication Services
Find the best risky stocks for passive income,Unspecified
Long term insurance opportunities,Financial Services
Build a large cap energy portfolio for 1 year growth.,Energy
Allocate 50000 into conservative 3 years real estate stocks,Real Estate
Recommend risky electricity stocks,Utilities
Find foods stocks with strong earnings growth.,Consumer Defensive
Recommend 5 years power utility stocks,Utilities
Find commercial real estate stocks with strong earnings growth.,Real Estate
Recommend promising properties stocks for long term growth.,Real Estate
Recommend 10 years stocks,Unspecified
Recommend stocks for growth,Unspecified
Analyze the top specialty chemicals companies for a risky investor.,Basic Materials
