question,action,timeframe
"This sudden drop in AMD looks like a perfect entry point for a short term bounce, should I buy? Thanks!",buy,short_term
"Quick question: I'm panicked about this market crash, should I liquidate my Amazon position immediately? Thanks!",sell,short_term
"Honestly, I'm feeling uncertain about the macroeconomic outlook. Analyze how JPM performs during recessions. Let me know your perspective.",analyze,medium_term
"Honestly, Is it a smart move to buy Netflix right now for a long-term compounder? What do you think?",buy,long_term
I'm full of hesitation here. Is it a smart move to buy Costco right now for a long-term compounder? What do you think?,buy,long_term
I'm terrified right now. I'm feeling uncertain about the macroeconomic outlook. Analyze how V performs during recessions. What do you think?,analyze,medium_term
Valuation concerns are creeping in for TSLA. Should I cut my losses or take profits now? Am I crazy for thinking this?,sell,short_term
Looking for some advanced insight: How do NVDA and META stack up against each other for a long-term dividend investing strategy? Any thoughts on this?,compare,long_term
"Honestly, Should I just hold my Berkshire Hathaway (BRK.A) shares through this horrific market crash and look past the noise?",hold,long_term
Looking for some advanced insight: Is it best to hold AMD for the next 5-10 years despite these valuation concerns? Let me know your perspective.,hold,long_term
I'm full of hesitation here. Can we compare the current valuations of BRK.A and GOOGL for a mid-term growth portfolio?,compare,medium_term
"I'm a beginner investor, Analyze the growth potential of Coca-Cola in the AI space over the medium term. Am I crazy for thinking this?",analyze,medium_term
Feeling quite confident. I'm hesitant to do anything. Should I just hold Costco for its dividend yield during retirement? What do you think?,hold,long_term
"Hey guys, With the AI boom accelerating, is INTC a must-buy for the next decade? Am I crazy for thinking this?",buy,long_term
"Honestly, I'm panicked about this market crash, should I liquidate my AMD position immediately? I appreciate any advice.",sell,short_term
Quick question: I'm hesitant to do anything. Should I just hold Broadcom for its dividend yield during retirement? Any thoughts on this?,hold,long_term
"Honestly, Valuation concerns are creeping in for KO. Should I cut my losses or take profits now? Let me know your perspective.",sell,short_term
"Hey guys, I'm feeling uncertain about the macroeconomic outlook. Analyze how V performs during recessions. What do you think?",analyze,medium_term
I'm full of hesitation here. Valuation concerns are creeping in for PEP. Should I cut my losses or take profits now? What do you think?,sell,short_term
"Hey guys, I want to accumulate Microsoft shares during this market crash to hold long term. Good idea? Am I crazy for thinking this?",buy,long_term
"I'm a beginner investor, The price action on Meta is completely flat. Hold or rotate into something else for the short term?",hold,short_term
